Stock,Name,Open,High,Low,Close,MA,EMA,RSI, Rating
0041.KL,HONG SENG CONSOLIDATED BHD,0.01,0.01,0.005,0.01,0.013,0.012644112,40.40904324,Sell
0138.KL,MY E.G. SERVICES BERHAD,0.78,0.785,0.77,0.77,0.792166667,0.789758488,36.85707608,Sell
0162.KL,WIDAD GROUP BERHAD,0.435,0.435,0.42,0.435,0.4265,0.428981429,63.06838854,Strong Sell
0165.KL,XOX BHD,0.015,0.02,0.015,0.02,0.016,0.016523549,56.88237603,Neutral
0209.KL,AIMFLEX BERHAD,0.155,0.16,0.15,0.155,0.156833333,0.158561048,44.25565024,Neutral
0218.KL,ACO GROUP BERHAD,0.22,0.22,0.215,0.22,0.2255,0.226285972,43.88228928,Sell
1015.KL,AMMB HOLDINGS BHD,3.82,3.87,3.82,3.86,3.748,3.764627555,63.61907998,Buy
1023.KL,CIMB GROUP HOLDINGS BERHAD,6.62,6.66,6.57,6.63,6.559,6.533114238,56.62411057,Strong Buy
1066.KL,RHB BANK BERHAD,5.67,5.69,5.64,5.65,5.605,5.614483681,53.44568551,Sell
1082.KL,HONG LEONG FINANCIAL GROUP BERHAD,16.6,16.6,16.34,16.540001,16.61133317,16.63475488,46.07859689,Neutral
1155.KL,MALAYAN BANKING BHD,8.97,9.01,8.96,9,8.906666667,8.915552187,59.25583443,Buy
1295.KL,PUBLIC BANK BERHAD,4.21,4.21,4.17,4.18,4.288333333,4.269525207,38.02664145,Strong Sell
1481.KL,ADVANCE SYNERGY BHD,0.14,0.145,0.135,0.14,0.158,0.154630458,34.69528763,Buy
1899.KL,BATU KAWAN BHD,19.799999,20,19.799999,20,19.8433332,19.94845777,53.15225147,Neutral
2445.KL,KUALA LUMPUR KEPONG BHD,22.440001,22.700001,22.440001,22.66,23.01266707,22.87730126,43.55533052,Neutral
2453.KL,KLUANG RUBBER COMPANY (MALAYA) BERHAD,4.75,4.75,4.75,4.75,4.611333333,4.63440281,64.51075345,Strong Buy
3158.KL,YNH PROPERTY BHD,0.455,0.455,0.44,0.445,0.492833333,0.573132686,29.05311929,Strong Sell
3255.KL,HEINEKEN MALAYSIA BERHAD,26.299999,26.459999,26.02,26.379999,26.17199997,26.21336736,53.13962933,Neutral
3379.KL,INSAS BHD,1.07,1.07,1.06,1.07,1.077,1.079386165,48.13255889,Strong Sell
3719.KL,PANASONIC MANUFACTURING MALAYSIA BERHAD,19.5,19.76,19.4,19.540001,18.15,18.30922035,87.25334757,Strong Sell
3794.KL,MALAYAN CEMENT BERHAD,4.9,4.91,4.71,4.79,5,4.94946773,37.55801341,Neutral
3867.KL,MALAYSIAN PACIFIC INDUSTRIES,27.200001,27.219999,26.68,26.780001,28.9500001,28.39779677,27.75325582,Buy
4065.KL,PPB GROUP BHD,15.9,16.18,15.74,16.02,16.3579998,16.31859086,41.50083032,Buy
4707.KL,NESTLE (MALAYSIA) BERHAD,121.5,123,121.5,122.900002,120.2533336,120.6002231,64.87130236,Neutral
5136.KL,HEXTAR TECHNOLOGIES SOLUTIONS BERHAD,27.639999,28.280001,27.639999,27.879999,27.01800003,27.1322847,57.52240741,Strong Buy
5139.KL,AEON CREDIT SERVICE (M) BERHAD,6.89,6.91,6.75,6.87,6.383666667,6.440697505,72.18428224,Neutral
5148.KL,UEM SUNRISE BERHAD,1.1,1.1,1.01,1.04,1.086,1.099191995,40.51551948,Strong Sell
5183.KL,PETRONAS CHEMICALS GROUP BHD,6.8,6.82,6.78,6.8,6.643,6.694847752,56.46947022,Sell
5185.KL,AFFIN BANK BERHAD,2.51,2.51,2.45,2.46,2.527,2.51261085,42.6446353,Neutral
5210.KL,BUMI ARMADA BERHAD,0.515,0.52,0.51,0.515,0.516333333,0.517094678,49.29205911,Buy
5265.KL,DOLPHIN INTERNATIONAL BERHAD,0.21,0.22,0.205,0.205,0.186,0.189119595,57.09947121,Strong Sell
5436.KL,PERUSAHAAN SADUR TIMAH MALAYSIA (PERSTIMA) BERHAD,2.98,2.98,2.96,2.96,2.901666667,2.948476084,52.15150139,Strong Sell
5657.KL,PARKSON HOLDINGS BERHAD,0.275,0.28,0.27,0.28,0.251166667,0.255282867,66.05583505,Sell
5681.KL,PETRONAS DAGANGAN BHD,22.9,22.9,22.5,22.5,22.49466643,22.53094295,49.0803531,Sell
6815.KL,EUPE CORPORATION BERHAD,1.51,1.51,1.3,1.4,1.081333333,1.142143004,71.80041807,Neutral
6888.KL,AXIATA GROUP BERHAD,2.61,2.7,2.61,2.68,2.75,2.724423691,44.616633,Neutral
7070.KL,VIZIONE HOLDINGS BERHAD,0.04,0.04,0.035,0.04,0.0435,0.043593394,44.77545118,Strong Sell
7095.KL,P.I.E. INDUSTRIAL BERHAD,3.75,3.8,3.7,3.8,3.493,3.548543728,81.50045951,Strong Buy
7130.KL,RENEUCO BERHAD,0.215,0.22,0.21,0.215,0.2225,0.220399674,45.09261457,Neutral
7154.KL,CLASSITA HOLDINGS BERHAD,0.065,0.07,0.065,0.07,0.127166667,0.111165752,35.51824586,Strong Buy
7164.KL,KNM GROUP BERHAD,0.085,0.085,0.08,0.085,0.085166667,0.085403472,49.62069417,Sell
7165.KL,CSH ALLIANCE BERHAD,0.045,0.045,0.045,0.045,0.045666667,0.045797181,48.07844059,Strong Sell
7212.KL,DESTINI BERHAD,0.035,0.035,0.03,0.03,0.041666667,0.040740606,36.81509102,Strong Sell
7222.KL,IMASPRO CORP BHD,1.16,1.17,1.15,1.16,1.220333333,1.278676669,31.14736381,Sell
7765.KL,RAPID SYNERGY BHD,22.84,23.299999,22.719999,23.299999,22.38066663,22.35287829,73.97097488,Strong Buy
8303.KL,LOTUS KFM BERHAD,0.185,0.19,0.185,0.185,0.196166667,0.197561112,42.43444714,Sell
8338.KL,DATAPREP HOLDINGS BHD,0.165,0.17,0.165,0.165,0.172666667,0.171359192,43.45805018
8532.KL,PERTAMA DIGITAL BERHAD,3.1,3.12,3.06,3.1,3.009666667,3.011115031,55.39517107,Sell
9237.KL,SARAWAK CONSOLIDATED IND BHD,0.44,0.45,0.44,0.445,0.445166667,0.431927022,58.16203799,Buy
9822.KL,SAM ENGINEERING & EQUIPMENT (M) BERHAD,4.83,4.94,4.77,4.83,4.784333333,4.701816848,54.4269286,Strong Buy
